attribute,proportion_of_changes
addressHttp,0.6299977239966619
userAgentHttp,0.6126242318488734
acceptHttp,0.2524087701995296
hostHttp,0.0
connectionHttp,0.0
encodingHttp,0.25134663530839846
languageHttp,0.2876109551627342
orderHttp,0.05781048478871102
pluginsJS,0.5056520749563767
platformJS,0.37554055079280785
cookiesJS,0.0053106744556558685
dntJS,0.012745618693574084
timezoneJS,0.10864122600713148
resolutionJS,0.16447917456945604
localJS,0.01016614824368409
sessionJS,0.01009028146574615
IEDataJS,0.0
fontsFlash,0.21174417722479327
resolutionFlash,0.19535695319019802
languageFlash,0.11304149912753206
platformFlash,0.12464911615203703
adBlock,0.11053789545558
vendorWebGLJS,0.005690008345345573
rendererWebGLJS,0.008800546240801153
octaneScore,1.0
sunspiderTime,1.0
pluginsJSHashed,0.1521887565435096
canvasJSHashed,0.11364843335103558
webGLJsHashed,0.0942265381989227
fontsFlashHashed,0.19915029208709506
osDetailed,0.550185873605948
browserDetailed,0.5493513390486306
browserVersion,1.0
